DOD¡VATEº:;;;;;;;;;;;;;;;FAKT⁄RA ËÌslo:;;;;;;;;;181234;;;;;;;;
Strana:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tester s. r. o.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;Objedn·vka:;;;;;;;;;;;;;;;;;
Ulica 1/2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;DodacÌ list:;;;;;;;;;;;;;;;;;
123 45 Mesto;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;SpÙsob dopravy:;;;;;;;Dovoz ;;;;;;;;;;
Slovensk· republika;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;SpÙsob ˙hrady:;;;;;;;Prevodn˝m prÌkazom;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
I»O:;;;;12345678;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DI»:;;;;0123456789;;;;;;;;ODBERATEº:;;;;;;;;;;;;;;;;;;;;
I» DPH:;;;;SK0123456789;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;Tester;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SpoloËnosù je zapÌsan· v Obchodnom registri OkresnÈho s˙du Mesta, oddiel Sro, vloûka Ë. 12345/R;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;Ulica 123;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;123 45 Mesto;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;Slovensk· republika;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
D·tum vyhotovenia;;;;;;;;;24.05.2018;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
D·tum dodania tovaru / sluûby;;;;;;;;;24.05.2018;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Tester;;;;;;;;;;;;;;;;;;
D·tum splatnosti;;;;;;;;;07.06.2018;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Ulica 123;;;;;;;;;;;;I»O:;;;12345678;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;123 45 Mesto;;;;;;;;;;;;DI»:;;;0123456789;;;
»Ìslo ˙Ëtu:;;;;;0123456789 / 1234;;;;;VS:;180001;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Slovensk· republika;;;;;;;;;;;;I» DPH:;;;SK0123456789;;;
Banka:;;;;;Banka, a.s.;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Prev·dzka:;;;;;Tester, Ulica 123, 123 45 Mesto, Slovensk· republika;;;;;;;;;;;;;
IBAN:;;;;;SK00 1234 0000 0000 1234 5678;;;;;;;;;;;;;;;;;;;;;;;;;;;
SWIFT:;;;;;BANKAXXX;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fakt˙rujeme V·m:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P.Ë.;;;KÛd kombinovanej nomenklat˙ry;;;; N·zov poloûky;;;;;;;;;;Mnoûstvo;;;MJ;;;JC bez DPH;DPH %;;;;Spolu bez DPH;;;Spolu s DPH;
1.;;;7217 9020;;;;DrÙt PVC pr. 2,0/50m;;;;;;;;;;5;;;ks;;;2,08;20;;;;10,40;;;12,48;
2.;;;7217 1039;;;;DrÙt Fe pr. 0,8;;;;;;;;;;63;;;kg;;;1,40;20;;;;88,20;;;105,84;
3.;;;7217 1039;;;;DrÙt Fe pr. 1,4;;;;;;;;;;166;;;kg;;;1,21;20;;;;200,86;;;241,03;
4.;;;7217 1039;;;;DrÙt Fe pr. 2,0;;;;;;;;;;118;;;kg;;;1,16;20;;;;136,88;;;164,26;
5.;;;7217 1039;;;;DrÙt Fe pr. 2,5;;;;;;;;;;76;;;kg;;;1,14;20;;;;86,64;;;103,97;
6.;;;7217 1039;;;;DrÙt Fe pr. 3,1;;;;;;;;;;205;;;kg;;;1,13;20;;;;231,65;;;277,98;
7.;;;7217 1039;;;;DrÙt Fe pr. 6,0;;;;;;;;;;94;;;kg;;;1,13;20;;;;106,22;;;127,46;
8.;;;7217 9020;;;;DrÙt PVC  pr. 3,4;;;;;;;;;;230;;;kg;;;2,08;20;;;;478,40;;;574,08;
9.;;;7217 2030;;;;DrÙt Zn pr. 0,8;;;;;;;;;;28;;;kg;;;1,46;20;;;;40,88;;;49,06;
10.;;;7217 2030;;;;DrÙt Zn pr. 1,0;;;;;;;;;;64;;;kg;;;1,43;20;;;;91,52;;;109,82;
11.;;;7217 2030;;;;DrÙt Zn pr. 1,2;;;;;;;;;;50;;;kg;;;1,43;20;;;;71,50;;;85,80;
